1	1	0.94862
1	57009	0.18685
2	2	0.99998
3	3	0.33451
3	36176	-0.14579
3	49549	-0.0066292
3	51452	-0.014467
3	55091	-0.011154
4	4	0.99993
5	5	0.99991
6	6	0.99988
7	7	0.99986
8	8	0.99984
9	9	0.92092
9	63297	-0.233
10	10	0.84307
10	5500	-0.08849
10	39152	0.16069
11	11	0.99977
12	12	0.99975
13	13	0.81339
13	42075	-0.28433
14	14	0.9997
15	15	0.99968
16	16	0.99965
17	17	0.99963
18	18	0.51711
18	97041	0.44481
19	19	0.99959
20	20	0.99956
21	21	0.99954
22	22	0.99952
23	23	0.99949
24	24	0.39119
24	43192	0.074461
24	57045	0.086065
25	25	0.98872
25	3227	0.047001
25	55277	0.032142
26	26	0.99942
27	27	0.9994
28	28	0.99938
29	29	0.99936
30	30	0.99933
31	31	0.99931
32	32	0.78391
32	252	0.26872
32	36273	0.038994
33	33	0.99926
34	34	0.99924
35	35	0.63576
35	87915	0.42786
36	36	0.93936
36	16342	-0.12303
37	37	0.99751
37	88394	0.03429
37	91272	0.016748
38	38	0.52225
38	12257	-0.0039433
38	28280	-0.018775
39	39	0.99913
40	40	0.9991
41	41	0.99908
42	42	0.89588
42	26374	-0.012914
42	33923	-0.016507
42	62341	-0.18915
43	43	0.99903
44	44	0.46796
44	33921	0.072999
45	45	0.99899
46	46	0.99427
46	24857	0.033827
46	91967	0.029608
47	47	0.87599
47	24093	-0.19262
48	48	0.99892
49	49	0.9989
50	50	0.99252
50	56565	-0.06767
51	51	0.8421
51	1397	0.013887
51	14498	0.084639
51	35002	-0.02526
51	55321	0.0022987
51	65513	-0.007832
51	77548	0.0014463
51	79168	-0.30125
52	52	0.16588
52	78099	-0.015876
53	53	0.9988
54	54	0.99878
55	55	0.99876
56	56	0.99873
57	57	0.9445
57	17257	0.12152
58	58	0.7435
58	49526	-0.14282
58	71712	0.34697
59	59	0.99867
60	60	0.99864
61	61	0.95057
61	23173	-0.13225
62	62	0.50824
62	83922	-0.42215
63	63	0.99857
64	64	0.43084
64	37771	-0.039039
64	44603	-0.25003
64	67072	-0.21388
64	99233	-0.025429
65	65	0.99853
66	66	0.9985
67	67	0.22286
67	32954	-0.016499
67	41771	-0.010696
67	55794	0.039275
67	65969	0.039677
67	79277	0.10539
67	98883	0.055295
68	68	0.99846
69	69	0.36081
69	57071	-0.24232
70	70	0.99841
71	71	0.99839
72	72	0.99837
73	73	0.45993
73	94661	0.43214
74	74	0.94036
74	2790	-0.011231
74	27169	-0.019694
74	46820	-0.11268
74	52642	0.14687
75	75	0.9983
76	76	0.99827
77	77	0.93074
77	3615	0.055505
77	12396	-0.052815
78	78	0.99823
79	79	0.99821
80	80	0.88957
80	11120	0.15029
80	21922	-0.01631
80	27065	-0.11411
81	81	0.99816
82	82	0.99814
83	83	0.99811
84	84	0.99809
85	85	0.99807
86	86	0.1977
86	68389	7.6066e-05
86	70400	0.00013285
87	87	0.99802
88	88	0.998
89	89	0.98922
89	1253	0.012428
90	90	0.99795
91	91	0.99793
92	92	0.92996
92	54479	-0.011627
92	71299	0.22023
93	93	0.65539
93	95121	0.43145
94	94	0.84463
94	4933	-0.23289
94	35352	-0.17794
94	69788	-0.11314
95	95	0.99784
96	96	0.99781
97	97	0.99779
98	98	0.99777
99	99	0.81063
99	81782	-0.35102
100	100	0.99772
101	101	0.33502
101	72048	-0.30964
102	102	0.99768
103	103	0.99765
104	104	0.76278
104	7580	-0.19253
104	43580	-0.23659
105	105	0.43387
105	52313	-0.27489
106	106	0.99759
107	107	0.47001
107	4803	0.030571
107	32011	0.013775
107	45129	0.0017552
107	46168	0.017078
107	50668	0.0030837
107	53525	0.0048875
108	108	0.99754
109	109	0.99752
110	110	0.99749
111	111	0.99747
112	112	0.70393
112	58503	-0.04537
112	100000	0.35811
113	113	0.99742
114	114	0.9974
115	115	0.99738
116	116	0.99736
117	117	0.99733
118	118	0.99731
119	119	0.99729
120	120	0.99726
121	121	0.92976
121	46914	-0.20536
121	99832	0.026287
122	122	0.81748
122	72788	0.3366
123	123	0.99719
124	124	0.76465
124	74914	0.36928
125	125	0.99715
126	126	0.99713
127	127	0.9971
128	128	0.93272
128	31086	0.16902
129	129	0.99706
130	130	0.99703
131	131	0.27315
131	8156	-0.000232
131	10933	2.1486e-05
131	56360	2.1598e-05
131	56395	-0.00023691
131	63293	4.8469e-06
131	95652	-3.8628e-05
132	132	0.99699
133	133	0.99697
134	134	0.35976
134	33723	-0.0069792
134	85294	-0.40433
134	99432	0.00090361
135	135	0.70638
135	9115	0.0053851
135	56665	0.35541
136	136	0.37916
136	10160	-0.021456
136	32694	-0.12536
136	69480	-0.0094621
136	71501	-0.015469
137	137	0.99687
138	138	0.50998
138	46185	0.28318
139	139	0.99683
140	140	0.27622
140	72610	0.25229
141	141	0.99678
142	142	0.99676
143	143	0.99674
144	144	0.18106
144	23229	0.056251
144	78693	-0.13787
144	93232	0.094272
145	145	0.99669
146	146	0.9547
146	180	-0.041031
146	3626	0.092051
146	34200	-0.015334
146	47968	-0.0011605
146	72144	-0.00060701
146	82481	-0.090611
146	92029	-0.0079789
146	95455	-0.00016807
147	147	0.99664
148	148	0.99662
149	149	0.48292
149	38572	-0.19164
150	150	0.99657
151	151	0.24036
151	62139	0.0022888
151	71518	0.030509
152	152	0.99055
152	16479	0.058177
152	20621	-0.004819
152	85503	-0.040959
153	153	0.99651
154	154	0.99648
155	155	0.99646
156	156	0.99644
157	157	0.99641
158	158	0.99639
159	159	0.34904
159	95676	-0.39298
160	160	0.99635
161	161	0.99632
162	162	0.9963
163	163	0.99628
164	164	0.99625
165	165	0.99623
166	166	0.99621
167	167	0.99618
168	168	0.99616
169	169	0.98069
169	3832	-0.03172
170	170	0.99612
171	171	0.99609
172	172	0.59357
172	78854	0.41643
173	173	0.99605
174	174	0.99602
175	175	0.996
176	176	0.99598
177	177	0.86015
177	22053	0.1873
178	178	0.99593
179	179	0.99591
180	146	-0.041031
180	180	0.21175
180	92029	-0.26709
180	95455	-0.003212
181	181	0.47629
181	23687	0.01806
181	33416	0.079566
182	182	0.37639
